TransactionID,CustomerID,AccountID,AccountType,TransactionType,Product,Firm,Region,Manager,TransactionDate,TransactionAmount,AccountBalance,RiskScore,CreditRating,TenureMonths
118,CUST3810,ACC49774,Savings,Deposit,Credit Card,Firm D,West,Manager 4,08-01-2024,20664.40982,88483.42208,0.483333125,522,29
102,CUST3109,ACC96277,Savings,Deposit,Mutual Fund,Firm B,North,Manager 4,17-12-2023,94924.35912,56670.15864,0.78898946,686,130
151,CUST2626,ACC21429,Credit,Payment,Personal Loan,Firm C,West,Manager 1,22-05-2024,-7871.160407,84968.05587,0.547782498,618,157
57,CUST3725,ACC48501,Loan,Withdrawal,Credit Card,Firm A,East,Manager 4,24-12-2023,24979.80816,115196.9642,0.125586875,803,155
113,CUST4258,ACC11285,Loan,Transfer,Home Loan,Firm A,West,Manager 4,15-01-2023,72890.74855,111602.7661,1.048786522,657,68
180,CUST9525,ACC50817,Savings,Deposit,Savings Account,Firm A,West,Manager 1,17-12-2023,48062.8841,93142.09358,0.036652442,639,212
14,CUST5558,ACC82947,Credit,Payment,Credit Card,Firm A,East,Manager 2,26-09-2023,-43698.75917,124963.7637,0.460876616,433,110
168,CUST7002,ACC26973,Current,Transfer,Credit Card,Firm B,East,Manager 1,16-10-2023,73760.19592,110879.8821,0.268997132,773,42
73,CUST5664,ACC28292,Credit,Payment,Personal Loan,Firm B,Central,Manager 1,17-02-2023,53351.52432,140792.2577,0.147018925,656,184
150,CUST8091,ACC23736,Credit,Transfer,Savings Account,Firm A,North,Manager 1,25-11-2023,107378.5572,33243.17354,0.111676092,814,181
128,CUST5894,ACC11188,Savings,Payment,Home Loan,Firm A,North,Manager 2,29-11-2023,84814.81434,72006.47781,0.780479407,494,85
125,CUST3041,ACC29396,Current,Withdrawal,Home Loan,Firm C,West,Manager 2,18-06-2023,53634.92822,52076.84016,0.756799033,410,195
53,CUST5920,ACC49422,Credit,Withdrawal,Mutual Fund,Firm B,South,Manager 3,06-11-2023,65215.76119,42285.97578,0.234974109,837,227
84,CUST6526,ACC21429,Credit,Payment,Savings Account,Firm D,East,Manager 4,17-11-2023,52815.80414,88589.89684,0.488018366,720,97
